City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Condition
84,Vardo,70.3705,31.1107,29.46,82,56,26.24,NO,12/13/2021 1:27,broken clouds
85,New Norfolk,-42.7826,147.0587,76.66,31,0,1.99,AU,12/13/2021 1:27,clear sky
86,Horta,38.5333,-28.6333,56.97,56,100,15.35,PT,12/13/2021 1:23,overcast clouds
87,Port Elizabeth,-33.918,25.5701,70.11,88,90,6.91,ZA,12/13/2021 1:27,light rain
88,Sobolevo,54.4299,31.8996,31.53,97,100,6.44,RU,12/13/2021 1:27,overcast clouds
89,Weyburn,49.6668,-103.8511,32.22,74,100,6.91,CA,12/13/2021 1:27,overcast clouds
90,Comodoro Rivadavia,-45.8667,-67.5,55.26,88,0,8.05,AR,12/13/2021 1:28,clear sky
91,Campo Gobierno,24.6536,-107.5411,73.65,78,75,5.75,MX,12/13/2021 1:28,broken clouds
92,Teguise,29.0605,-13.564,59.22,59,0,10.36,ES,12/13/2021 1:28,clear sky
93,Progreso,21.2833,-89.6667,79.11,78,34,14.03,MX,12/13/2021 1:28,scattered clouds
94,Provideniya,64.3833,-173.3,-8.64,70,0,6.71,RU,12/13/2021 1:28,clear sky
95,Ormara,25.2088,64.6357,69.58,49,7,7.18,PK,12/13/2021 1:24,clear sky
96,Mahebourg,-20.4081,57.7,75.49,78,40,5.75,MU,12/13/2021 1:28,light rain
97,Kibre Mengist,5.8833,38.9833,50.94,81,100,3.62,ET,12/13/2021 1:28,overcast clouds
98,Carroll,39.5501,-77.0164,41.4,47,0,1.01,US,12/13/2021 1:28,clear sky
99,Vossevangen,60.623,6.4229,38.53,95,100,3.6,NO,12/13/2021 1:28,overcast clouds
100,Souillac,-20.5167,57.5167,75.58,78,40,5.75,MU,12/13/2021 1:19,light rain
101,Avarua,-21.2078,-159.775,73.45,94,75,6.91,CK,12/13/2021 1:28,heavy intensity rain
102,Rock Sound,24.9,-76.2,78.66,76,2,13.62,BS,12/13/2021 1:28,clear sky
103,Rudbar,30.15,62.6,47.19,43,0,5.88,AF,12/13/2021 1:28,clear sky
104,Norman Wells,65.282,-126.8329,-2.16,78,75,13.8,CA,12/13/2021 1:28,light snow
105,Kiunga,-6.1219,141.2906,75.69,95,100,3.22,PG,12/13/2021 1:28,overcast clouds
106,Broome,42.2506,-75.833,39.65,58,1,3,US,12/13/2021 1:28,clear sky
107,Ugoofaaru,5.6667,73,82.15,76,100,16.6,MV,12/13/2021 1:28,overcast clouds
108,Nouadhibou,20.931,-17.0347,64.38,72,0,19.57,MR,12/13/2021 1:21,clear sky
109,Mackenzie,55.2999,-123.1698,10.62,92,90,0,CA,12/13/2021 1:28,light snow
110,Meulaboh,4.1363,96.1285,77.23,88,100,2.17,ID,12/13/2021 1:28,overcast clouds
111,Udachnyy,66.4167,112.4,-47.56,71,99,3.78,RU,12/13/2021 1:28,overcast clouds
112,Pauini,-7.7136,-66.9764,75.04,99,100,3.2,BR,12/13/2021 1:28,overcast clouds
113,Fairbanks,64.8378,-147.7164,-12.78,68,75,0,US,12/13/2021 1:24,light snow
114,Banda Aceh,5.5577,95.3222,79.02,81,83,12.26,ID,12/13/2021 1:28,broken clouds
115,Kholm,59.2667,32.85,30.07,98,100,6.11,RU,12/13/2021 1:28,snow
116,Terrace Bay,48.7834,-87.1,37.02,87,91,11.92,CA,12/13/2021 1:28,overcast clouds
117,Mount Gambier,-37.8333,140.7667,64.31,72,90,14.97,AU,12/13/2021 1:28,light rain
118,Zambezi,-13.5432,23.1047,66.74,83,64,3.13,ZM,12/13/2021 1:28,light rain
119,Baruun-Urt,46.6806,113.2792,13.41,61,4,19.57,MN,12/13/2021 1:28,clear sky
120,Dieppe,49.75,1.1667,49.19,80,100,7.34,FR,12/13/2021 1:28,overcast clouds
121,Cape Town,-33.9258,18.4232,64.81,79,0,3,ZA,12/13/2021 1:28,clear sky
122,Ganzhou,28.8184,115.4327,51.42,64,99,5.7,CN,12/13/2021 1:28,overcast clouds
123,Javanrud,34.7961,46.5172,41.72,25,100,3.65,IR,12/13/2021 1:28,overcast clouds
124,Cayenne,4.9333,-52.3333,76.08,91,75,0,GF,12/13/2021 1:28,broken clouds
125,Victoria,22.2855,114.1577,67.24,71,5,1.01,HK,12/13/2021 1:27,clear sky
126,Huarmey,-10.0681,-78.1522,68.43,83,92,7.23,PE,12/13/2021 1:28,overcast clouds
127,Bronnoysund,65.4625,12.1997,41,87,75,14.97,NO,12/13/2021 1:28,broken clouds
128,Qianguo,45.1171,124.8568,11.01,76,14,12.82,CN,12/13/2021 1:28,few clouds
129,Mount Isa,-20.7333,139.5,100.17,9,5,8.05,AU,12/13/2021 1:28,clear sky
130,Anju,39.6178,125.6647,22.95,33,0,4.99,KP,12/13/2021 1:28,clear sky
131,Opuwo,-18.0607,13.84,72.32,65,89,8.52,NA,12/13/2021 1:22,light rain
132,Baie-Comeau,49.2168,-68.1489,33.8,74,75,6.91,CA,12/13/2021 1:28,broken clouds
133,Cockburn Town,21.4612,-71.1419,78.76,73,40,11.5,TC,12/13/2021 1:28,scattered clouds
134,Houma,29.5958,-90.7195,57.2,79,1,5.75,US,12/13/2021 1:28,clear sky
135,Nara,34.6851,135.8049,51.17,63,77,10.51,JP,12/13/2021 1:28,broken clouds
136,Hasaki,35.7333,140.8333,55.69,46,78,15.77,JP,12/13/2021 1:29,broken clouds
137,Ostrovnoy,68.0531,39.5131,29.59,93,100,14.54,RU,12/13/2021 1:24,light snow
138,Camana,-16.6228,-72.7111,67.75,89,88,8.63,PE,12/13/2021 1:29,overcast clouds
139,Skorodnoye,51.071,37.2276,28.29,58,100,12.35,RU,12/13/2021 1:29,overcast clouds
140,Dunedin,-45.8742,170.5036,63.09,64,100,10.45,NZ,12/13/2021 1:29,overcast clouds
141,Veraval,20.9,70.3667,71.73,60,0,8.25,IN,12/13/2021 1:29,clear sky
142,Iquique,-20.2208,-70.1431,66.24,80,56,2.42,CL,12/13/2021 1:29,broken clouds
143,Valdivia,-39.8142,-73.2459,46.49,88,100,2.68,CL,12/13/2021 1:29,overcast clouds
144,Ailigandi,9.2333,-78.0167,79.72,83,100,8.5,PA,12/13/2021 1:29,overcast clouds
145,Marabba,12.35,32.1833,76.89,29,56,9.53,SD,12/13/2021 1:29,broken clouds
146,Limon,10,-83.0333,77.86,76,10,0.07,CR,12/13/2021 1:29,clear sky
147,Mlonggo,-6.5333,110.7,84.09,76,100,5.06,ID,12/13/2021 1:29,overcast clouds
148,Gat,31.61,34.7642,70.92,35,100,5.46,IL,12/13/2021 1:29,overcast clouds
149,Qasigiannguit,68.8193,-51.1922,19.65,89,70,5.75,GL,12/13/2021 1:29,broken clouds
150,Tasiilaq,65.6145,-37.6368,33.96,88,100,6.87,GL,12/13/2021 1:29,overcast clouds
151,Kendari,-3.945,122.4989,83.23,76,100,3.31,ID,12/13/2021 1:29,overcast clouds
152,Anadyr,64.75,177.4833,-32.13,98,100,8.28,RU,12/13/2021 1:29,overcast clouds
153,Melfi,40.9965,15.6514,41.49,84,40,8.12,IT,12/13/2021 1:29,scattered clouds
154,Taoudenni,22.6783,-3.9836,66.09,21,27,14.54,ML,12/13/2021 1:29,scattered clouds
155,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,90,19.57,CA,12/13/2021 1:29,light snow
156,Talnakh,69.4865,88.3972,-25.8,80,24,1.16,RU,12/13/2021 1:29,few clouds
157,Palana,59.1167,159.9667,13.33,86,100,19.71,RU,12/13/2021 1:29,overcast clouds
158,Faanui,-16.4833,-151.75,81.36,73,100,11.99,PF,12/13/2021 1:29,light rain
159,San Rafael,-34.6177,-68.3301,67.59,41,4,6.17,AR,12/13/2021 1:29,clear sky
160,Rudnogorsk,57.2639,103.7519,-13.14,100,82,2.68,RU,12/13/2021 1:29,broken clouds
161,Luderitz,-26.6481,15.1594,61.12,82,39,13,NA,12/13/2021 1:29,scattered clouds
162,Kahului,20.8947,-156.47,80.62,73,40,21.85,US,12/13/2021 1:28,scattered clouds
163,Vandra,58.6481,25.0361,31.17,90,100,5.7,EE,12/13/2021 1:29,overcast clouds
164,Leninsk,48.7119,45.1994,21.06,56,92,10.96,RU,12/13/2021 1:29,overcast clouds
165,Axim,4.8699,-2.2405,79.27,85,91,5.95,GH,12/13/2021 1:21,overcast clouds
166,Dikson,73.5069,80.5464,-17.01,96,85,16.58,RU,12/13/2021 1:29,overcast clouds
167,Torbay,47.6666,-52.7314,40.68,88,90,33.38,CA,12/13/2021 1:29,overcast clouds
168,Thompson,55.7435,-97.8558,3.36,85,90,6.91,CA,12/13/2021 1:24,light snow
169,Mongar,27.2747,91.2396,41.86,78,1,5.44,BT,12/13/2021 1:29,clear sky
170,Bassar,9.25,0.7833,75.4,25,51,3.18,TG,12/13/2021 1:29,broken clouds
171,Bambous Virieux,-20.3428,57.7575,75.45,78,40,5.75,MU,12/13/2021 1:29,light rain
172,Takoradi,4.8845,-1.7554,79.86,85,26,6.62,GH,12/13/2021 1:29,scattered clouds
173,Nanzhang,31.7765,111.8386,44.83,75,7,1.48,CN,12/13/2021 1:29,clear sky
174,Zhigansk,66.7697,123.3711,-34.56,99,94,10.22,RU,12/13/2021 1:29,overcast clouds
175,Catarman,12.4989,124.6377,79,91,83,12.73,PH,12/13/2021 1:29,broken clouds
176,Oliveira Do Hospital,40.3618,-7.8601,44.04,82,5,4.38,PT,12/13/2021 1:29,clear sky
177,Lebu,-37.6167,-73.65,52.88,80,28,8.12,CL,12/13/2021 1:29,scattered clouds
178,Tabou,4.423,-7.3528,79.74,84,14,6.55,CI,12/13/2021 1:29,few clouds
179,San Carlos De Bariloche,-41.1456,-71.3082,47.95,66,40,20.71,AR,12/13/2021 1:29,scattered clouds
180,Warrnambool,-38.3833,142.4833,84.81,56,85,12.57,AU,12/13/2021 1:30,light rain
181,Airai,-8.9266,125.4092,75.2,58,81,0.85,TL,12/13/2021 1:30,broken clouds
182,Nikolskoye,59.7035,30.7861,24.69,99,100,1.52,RU,12/13/2021 1:30,snow
183,Hobart,-42.8794,147.3294,77.02,42,20,4,AU,12/13/2021 1:30,few clouds
184,Puerto Ayora,-0.7393,-90.3518,68.56,96,95,1.99,EC,12/13/2021 1:30,overcast clouds
185,Ciudad Ojeda,10.1964,-71.3082,77.61,81,72,11.12,VE,12/13/2021 1:30,broken clouds
186,Lermontovka,47.1453,134.3383,7.45,83,93,10.63,RU,12/13/2021 1:30,overcast clouds
