City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,Kruisfontein,-34.0033,24.7314,69.89,87,100,7.72,ZA,2021-12-12 19:50:04
89,Maldonado,-34.6667,-54.9167,85.39,49,43,15.05,UY,2021-12-12 19:50:05
90,Bengkulu,-3.8004,102.2655,75.29,90,99,4.0,ID,2021-12-12 19:47:22
91,Barrow,71.2906,-156.7887,-11.18,77,20,13.8,US,2021-12-12 19:50:05
92,Kirakira,-10.4544,161.9205,81.91,85,95,12.68,SB,2021-12-12 19:50:06
93,Katsuura,35.1333,140.3,59.02,62,54,4.63,JP,2021-12-12 19:51:06
94,New Norfolk,-42.7826,147.0587,53.92,74,24,2.59,AU,2021-12-12 19:51:06
95,Fortuna,40.5982,-124.1573,52.2,76,40,5.01,US,2021-12-12 19:51:07
96,Saldanha,-33.0117,17.9442,64.45,92,100,13.73,ZA,2021-12-12 19:51:07
97,Oranjemund,-28.55,16.4333,62.78,90,28,5.1,NA,2021-12-12 19:51:07
98,Hami,42.8,93.45,23.13,44,2,5.37,CN,2021-12-12 19:51:08
99,Alekseyevka,50.6309,38.6903,29.23,61,100,12.35,RU,2021-12-12 19:51:08
100,Zhanaozen,43.3,52.8,25.14,57,0,8.81,KZ,2021-12-12 19:51:09
101,Kenai,60.5544,-151.2583,6.85,64,1,17.27,US,2021-12-12 19:51:09
102,Nikolskoye,59.7035,30.7861,23.4,98,100,5.03,RU,2021-12-12 19:51:09
103,Atessa,42.0693,14.4511,41.29,77,38,9.31,IT,2021-12-12 19:51:10
104,Praia Da Vitoria,38.7333,-27.0667,55.76,71,40,24.74,PT,2021-12-12 19:51:10
105,Georgetown,5.4112,100.3354,80.89,80,40,5.99,MY,2021-12-12 19:48:07
106,Port-Gentil,-0.7193,8.7815,79.54,79,100,2.71,GA,2021-12-12 19:51:11
107,Bud,39.447,-86.1758,50.05,41,3,11.9,US,2021-12-12 19:51:11
108,Komsomolskiy,40.4272,71.7189,35.02,59,10,4.61,UZ,2021-12-12 19:51:11
109,Makakilo City,21.3469,-158.0858,77.32,73,75,10.36,US,2021-12-12 19:48:18
110,Esperance,-33.8667,121.9,49.84,63,60,3.74,AU,2021-12-12 19:51:12
111,Pangnirtung,66.1451,-65.7125,-0.4,65,20,2.3,CA,2021-12-12 19:51:12
112,Nemuro,43.3236,145.575,36.97,69,8,27.92,JP,2021-12-12 19:51:12
113,Mahebourg,-20.4081,57.7,79.09,69,20,8.05,MU,2021-12-12 19:51:13
114,Vaini,-21.2,-175.2,77.16,94,75,8.05,TO,2021-12-12 19:51:13
115,Tombouctou,20.0,-3.0,72.68,9,29,8.19,ML,2021-12-12 19:51:13
116,Hobart,-42.8794,147.3294,54.27,84,75,1.01,AU,2021-12-12 19:49:14
117,Saint-Philippe,-21.3585,55.7679,78.39,78,79,14.72,RE,2021-12-12 19:51:14
118,Clyde River,70.4692,-68.5914,-1.97,84,29,11.5,CA,2021-12-12 19:51:14
119,Paris,48.8534,2.3488,51.15,97,90,1.01,FR,2021-12-12 19:51:15
120,Mezen,65.8522,44.24,18.99,88,100,8.75,RU,2021-12-12 19:51:15
121,Erzin,36.9559,36.2,59.52,54,100,8.57,TR,2021-12-12 19:49:16
122,Akdepe,42.0551,59.3788,33.89,83,35,8.43,TM,2021-12-12 19:51:15
123,Torbay,47.6666,-52.7314,56.75,91,90,37.98,CA,2021-12-12 19:51:16
124,East London,-33.0153,27.9116,71.98,94,100,3.87,ZA,2021-12-12 19:51:16
125,Pevek,69.7008,170.3133,-33.54,97,16,0.4,RU,2021-12-12 19:51:16
126,La Ronge,55.1001,-105.2842,8.85,85,90,2.3,CA,2021-12-12 19:51:17
127,Perigueux,45.1833,0.7167,45.81,91,73,3.4,FR,2021-12-12 19:51:17
128,Asau,46.4333,26.4,39.96,85,100,4.03,RO,2021-12-12 19:51:18
129,Vila Franca Do Campo,37.7167,-25.4333,57.61,62,100,20.96,PT,2021-12-12 19:51:18
130,Saskylakh,71.9167,114.0833,-44.93,100,68,2.84,RU,2021-12-12 19:51:18
131,Fort William,56.8165,-5.1121,54.79,98,100,5.7,GB,2021-12-12 19:51:19
132,Mount Gambier,-37.8333,140.7667,62.51,45,9,9.22,AU,2021-12-12 19:51:19
133,Qaanaaq,77.484,-69.3632,-3.32,69,60,2.71,GL,2021-12-12 19:49:53
134,Ixtapa,20.7,-105.2,88.99,39,9,6.62,MX,2021-12-12 19:51:19
135,Shubarkuduk,49.1447,56.4872,17.13,70,0,12.15,KZ,2021-12-12 19:51:20
136,Abha,18.2164,42.5053,53.42,35,0,4.61,SA,2021-12-12 19:51:20
137,Mwinilunga,-11.7358,24.4293,67.68,77,98,4.07,ZM,2021-12-12 19:51:21
138,Florianopolis,-27.6146,-48.5012,74.43,78,40,6.91,BR,2021-12-12 19:52:21
139,Khawhai,23.3667,93.1167,42.6,90,0,2.86,IN,2021-12-12 19:52:22
140,Tabas,33.5959,56.9244,49.93,38,38,3.65,IR,2021-12-12 19:52:22
141,Alta Floresta,-9.8756,-56.0861,89.42,62,40,5.75,BR,2021-12-12 19:52:22
142,Cidreira,-30.1811,-50.2056,73.9,77,0,11.68,BR,2021-12-12 19:52:22
143,Dukat,62.55,155.55,-4.81,99,100,3.83,RU,2021-12-12 19:52:23
144,Saint George,37.1041,-113.5841,59.47,34,5,1.99,US,2021-12-12 19:52:23
145,Krasnyy Chikoy,50.3643,108.7512,-1.35,96,5,1.16,RU,2021-12-12 19:52:24
146,Le Passage,44.2014,0.6028,47.59,100,90,5.75,FR,2021-12-12 19:52:24
147,Broome,42.2506,-75.833,45.46,47,1,3.0,US,2021-12-12 19:52:24
148,El Jicaro,14.9167,-89.9,85.53,57,63,5.28,GT,2021-12-12 19:52:25
149,Sadovoye,47.7764,44.5089,25.77,63,17,12.8,RU,2021-12-12 19:52:25
150,Kavieng,-2.5744,150.7967,83.12,77,100,6.02,PG,2021-12-12 19:52:25
151,Palmer,42.1584,-72.3287,46.65,41,20,3.0,US,2021-12-12 19:52:26
152,Avera,33.194,-82.5271,62.11,38,0,7.63,US,2021-12-12 19:52:26
153,Qandala,11.472,49.8728,75.9,79,17,6.91,SO,2021-12-12 19:52:26
154,Rio Gallegos,-51.6226,-69.2181,55.45,26,40,39.12,AR,2021-12-12 19:52:27
155,Razdolnoye,43.55,131.9167,10.81,51,1,14.7,RU,2021-12-12 19:52:27
156,Ribeira Grande,38.5167,-28.7,57.6,54,40,9.22,PT,2021-12-12 19:52:28
157,Punta De Piedra,7.6176,-71.4916,92.32,35,62,2.48,VE,2021-12-12 19:52:28
158,Bambous Virieux,-20.3428,57.7575,79.05,69,20,8.05,MU,2021-12-12 19:52:28
159,Maniitsoq,65.4167,-52.9,19.33,69,15,6.53,GL,2021-12-12 19:52:29
160,Gigmoto,13.7796,124.39,78.85,87,83,17.22,PH,2021-12-12 19:52:29
161,Korla,41.7597,86.1469,18.72,71,38,2.91,CN,2021-12-12 19:52:29
162,Port Lincoln,-34.7333,135.8667,59.97,77,88,15.77,AU,2021-12-12 19:52:30
163,Saint-Augustin,51.226,-58.6502,31.17,73,99,26.13,CA,2021-12-12 19:52:30
164,Pisco,-13.7,-76.2167,73.45,68,40,13.8,PE,2021-12-12 19:52:30
165,Harper,4.375,-7.7169,80.13,82,63,7.85,LR,2021-12-12 19:52:31
166,Pincher Creek,49.4833,-113.952,35.71,66,40,18.41,CA,2021-12-12 19:52:31
167,Skjervoy,70.0311,20.9714,33.51,97,100,11.16,NO,2021-12-12 19:52:31
168,Naples,40.8333,14.25,50.05,64,0,5.01,IT,2021-12-12 19:50:05
169,Port Hawkesbury,45.6169,-61.3485,40.17,77,90,8.99,CA,2021-12-12 19:52:32
170,Homer,59.6425,-151.5483,13.87,71,1,3.44,US,2021-12-12 19:52:32
171,Iqaluit,63.7506,-68.5145,6.53,65,75,5.01,CA,2021-12-12 19:50:53
172,Narsaq,60.9167,-46.05,9.59,78,4,7.85,GL,2021-12-12 19:52:33
173,Portland,45.5234,-122.6762,44.83,91,75,4.0,US,2021-12-12 19:48:07
174,Chuy,-33.6971,-53.4616,76.33,61,0,14.99,UY,2021-12-12 19:49:26
175,Ambanja,-13.6833,48.45,75.54,86,47,1.61,MG,2021-12-12 19:52:33
176,Luanda,-8.8368,13.2343,82.4,78,40,4.61,AO,2021-12-12 19:48:14
177,Tonantins,-2.8731,-67.8022,82.09,88,94,2.95,BR,2021-12-12 19:52:34
178,Honiara,-9.4333,159.95,79.9,89,100,3.71,SB,2021-12-12 19:52:34
179,Carauari,-4.8828,-66.8958,82.72,79,98,3.56,BR,2021-12-12 19:52:35
180,Campos Gerais,-21.235,-45.7586,79.75,68,93,3.15,BR,2021-12-12 19:52:35
181,Lebedinyy,58.5167,125.5167,-22.29,79,78,7.18,RU,2021-12-12 19:52:35
182,Gizo,-8.103,156.8419,83.12,76,100,5.57,SB,2021-12-12 19:52:36
183,College,64.8569,-147.8028,-10.8,69,75,3.44,US,2021-12-12 19:52:36
184,Saint Anthony,45.0205,-93.218,39.04,57,1,4.0,US,2021-12-12 19:52:36
185,Barcelos,41.5388,-8.6151,56.91,81,36,3.87,PT,2021-12-12 19:52:37
186,Constitucion,-35.3333,-72.4167,61.45,55,0,19.08,CL,2021-12-12 19:52:37
187,Yermish,54.7678,42.2711,17.76,91,40,7.7,RU,2021-12-12 19:53:38
188,Talnakh,69.4865,88.3972,-20.79,88,100,0.25,RU,2021-12-12 19:53:38
189,Xinyang,32.1228,114.0656,39.45,84,0,2.42,CN,2021-12-12 19:51:14
190,Aleppo,36.25,37.5,54.72,48,100,8.61,SY,2021-12-12 19:53:38
191,Aksu,41.1231,80.2644,20.64,70,6,2.51,CN,2021-12-12 19:53:39
192,Quepos,9.4236,-84.1652,90.7,72,28,5.75,CR,2021-12-12 19:53:39
193,Otane,-39.8833,176.6333,62.38,98,100,3.29,NZ,2021-12-12 19:53:40
194,Cartagena,10.3997,-75.5144,87.42,62,75,16.11,CO,2021-12-12 19:53:40
195,Akdagmadeni,39.6603,35.8836,40.42,54,0,4.61,TR,2021-12-12 19:53:41
196,Souillac,-20.5167,57.5167,79.18,69,20,8.05,MU,2021-12-12 19:53:41
197,Ewa Beach,21.3156,-158.0072,79.09,73,75,15.01,US,2021-12-12 19:52:21
198,Havre-Saint-Pierre,50.2334,-63.5986,34.39,55,75,33.38,CA,2021-12-12 19:53:41
199,Yar-Sale,66.8333,70.8333,-12.32,100,89,5.03,RU,2021-12-12 19:53:42
200,Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,69,75,4.47,RU,2021-12-12 19:53:42
201,Matamoros,25.5333,-103.25,68.11,32,8,2.62,MX,2021-12-12 19:53:42
202,Stornoway,58.2093,-6.3865,45.93,94,90,4.0,GB,2021-12-12 19:53:43
203,Landau,49.2075,8.1133,43.86,85,100,5.1,DE,2021-12-12 19:53:43
204,Coahuayana,18.7333,-103.6833,88.95,54,35,6.8,MX,2021-12-12 19:53:44
205,Karratha,-20.7377,116.8463,87.22,23,0,11.77,AU,2021-12-12 19:53:44
206,Castro,-24.7911,-50.0119,82.09,41,99,5.61,BR,2021-12-12 19:53:44
207,Chokurdakh,70.6333,147.9167,-37.95,97,98,2.04,RU,2021-12-12 19:53:44
208,Soyo,-6.1349,12.3689,78.98,87,86,5.12,AO,2021-12-12 19:53:45
209,Monte Aprazivel,-20.7725,-49.7142,93.85,45,19,9.95,BR,2021-12-12 19:53:45
210,Dunedin,-45.8742,170.5036,55.4,68,37,2.35,NZ,2021-12-12 19:50:04
211,Muros,42.7762,-9.0603,54.23,94,89,4.56,ES,2021-12-12 19:52:48
212,Zlobin,45.2924,14.6541,36.7,50,0,4.61,HR,2021-12-12 19:53:46
213,Nantucket,41.2835,-70.0995,47.08,49,7,18.97,US,2021-12-12 19:51:08
214,Thinadhoo,0.5333,72.9333,80.31,76,97,6.85,MV,2021-12-12 19:53:46
215,Prince Rupert,54.3161,-130.3201,37.09,64,1,5.75,CA,2021-12-12 19:50:47
216,Lumphat,13.4878,106.9816,66.04,81,87,5.03,KH,2021-12-12 19:53:47
217,Dudinka,69.4058,86.1778,-20.38,92,99,5.73,RU,2021-12-12 19:53:47
218,Klaksvik,62.2266,-6.589,43.72,72,100,19.01,FO,2021-12-12 19:53:48
219,Wukari,7.85,9.7833,80.85,18,86,5.26,NG,2021-12-12 19:53:48
220,Meridian,43.6121,-116.3915,55.18,50,90,5.01,US,2021-12-12 19:50:53
221,Arraial Do Cabo,-22.9661,-42.0278,84.16,69,75,17.27,BR,2021-12-12 19:53:48
222,Cockburn Town,21.4612,-71.1419,82.36,69,40,11.5,TC,2021-12-12 19:53:49
223,Muravlenko,63.7898,74.523,-12.05,100,83,5.88,RU,2021-12-12 19:53:49
224,Ayan,56.45,138.1667,8.96,66,100,11.3,RU,2021-12-12 19:53:49
225,Zabol,32.25,67.25,34.47,35,0,7.43,AF,2021-12-12 19:53:50
226,Kanigoro,-8.13,112.219,74.82,93,87,1.92,ID,2021-12-12 19:53:50
227,Camocim,-2.9022,-40.8411,85.37,65,23,20.2,BR,2021-12-12 19:52:39
228,Maryborough,-25.5333,152.7,71.11,80,10,5.37,AU,2021-12-12 19:53:51
229,Ketchikan,55.3422,-131.6461,31.12,82,100,5.7,US,2021-12-12 19:53:51
230,Aksarka,66.5606,67.7975,-6.16,100,85,1.9,RU,2021-12-12 19:53:52
231,Ulagan,50.6321,87.9563,14.05,85,100,1.54,RU,2021-12-12 19:53:52
232,Toora-Khem,52.4675,96.11,-0.92,98,97,1.03,RU,2021-12-12 19:53:52
233,Kedrovyy,56.1667,91.8167,7.21,96,100,6.91,RU,2021-12-12 19:54:53
234,Yangambi,0.8102,24.4336,73.09,90,100,2.73,CD,2021-12-12 19:54:53
235,Severo-Kurilsk,50.6789,156.125,33.04,94,87,11.61,RU,2021-12-12 19:54:53
236,Peniche,39.3558,-9.3811,63.63,71,5,5.26,PT,2021-12-12 19:54:54
237,Sorland,67.667,12.6934,37.47,71,90,16.17,NO,2021-12-12 19:54:54
238,Danshui,22.7984,114.4672,66.07,70,5,8.88,CN,2021-12-12 19:54:54
239,Palu,-0.8917,119.8707,74.84,92,89,1.81,ID,2021-12-12 19:54:55
240,Lasa,46.6166,10.7002,30.94,87,33,7.18,IT,2021-12-12 19:54:55
241,Sorong,-0.8833,131.25,81.59,79,100,6.64,ID,2021-12-12 19:54:55
242,Diamantino,-14.4086,-56.4461,82.35,77,100,7.43,BR,2021-12-12 19:54:56
243,Kaeo,-35.1,173.7833,71.33,97,100,5.7,NZ,2021-12-12 19:54:56
244,Khandyga,62.6667,135.6,-40.9,100,73,1.21,RU,2021-12-12 19:54:56
245,Nagato,34.3833,131.2,48.11,61,8,10.4,JP,2021-12-12 19:54:57
246,Rock Hill,34.9249,-81.0251,53.98,33,1,9.22,US,2021-12-12 19:51:55
247,Chazuta,-6.5742,-76.1367,94.05,51,83,6.24,PE,2021-12-12 19:54:57
248,Iranshahr,27.2025,60.6848,55.74,24,0,6.91,IR,2021-12-12 19:54:58
249,Ilulissat,69.2167,-51.1,5.54,91,91,5.12,GL,2021-12-12 19:54:58
250,Balabac,7.9868,117.0645,81.52,82,78,15.19,PH,2021-12-12 19:54:59
251,Soure,-0.7167,-48.5233,83.64,73,63,14.9,BR,2021-12-12 19:54:59
252,Takhtamygda,54.1,123.5667,-5.76,86,100,1.25,RU,2021-12-12 19:54:59
253,Sinnamary,5.3833,-52.95,77.16,91,100,11.95,GF,2021-12-12 19:55:00
254,Sola,-13.8833,167.55,81.79,80,100,14.05,VU,2021-12-12 19:55:00
255,Northam,51.0333,-4.2167,54.01,86,97,20.58,GB,2021-12-12 19:55:00
256,Waingapu,-9.6567,120.2641,79.88,83,100,1.92,ID,2021-12-12 19:55:01
257,Kieta,-6.2167,155.6333,81.09,83,98,2.3,PG,2021-12-12 19:55:01
