City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
442,Kyabe,TD,77.31,overcast clouds,9.4515,18.9449,Kyabe
444,Pochutla,MX,80.82,few clouds,15.7432,-96.4661,Pochutla
447,Puerto Ayacucho,VE,82.18,broken clouds,5.6639,-67.6236,Puerto Ayacucho
452,Sabang,ID,82.17,scattered clouds,5.8933,95.3214,Sabang
460,Gold Coast,AU,84.16,scattered clouds,-28.0,153.4333,Gold Coast
468,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Kloulklubed
470,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,Denpasar
472,Nabire,ID,84.6,overcast clouds,-3.3667,135.4833,Nabire
473,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Alofi
474,Thinadhoo,MV,80.94,overcast clouds,0.5333,72.9333,Thinadhoo
478,Almeirim,BR,76.69,light rain,-1.5233,-52.5817,Almeirim
487,Hobyo,SO,77.97,few clouds,5.3505,48.5268,Hobyo
488,Bonthe,SL,78.71,light rain,7.5264,-12.505,Bonthe
491,Ixtapa,MX,78.03,broken clouds,20.7,-105.2,Ixtapa
495,Koumac,NC,76.87,moderate rain,-20.5667,164.2833,Koumac
496,Kokopo,PG,85.51,light rain,-4.352,152.2633,Kokopo
497,Inverell,AU,80.67,clear sky,-29.7833,151.1167,Inverell
503,Sorong,ID,82.53,moderate rain,-0.8833,131.25,Sorong
507,Richards Bay,ZA,75.2,overcast clouds,-28.783,32.0377,Richards Bay
508,Acajutla,SV,78.93,few clouds,13.5928,-89.8275,Acajutla
511,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Hambantota
512,Coahuayana,MX,81.88,clear sky,18.7333,-103.6833,Coahuayana
513,Amalapuram,IN,77.38,overcast clouds,16.5833,82.0167,Amalapuram
515,Acarau,BR,80.42,overcast clouds,-2.8856,-40.12,Acarau
517,Puerto Escondido,MX,81.43,few clouds,15.85,-97.0667,Puerto Escondido
518,Labuhan,ID,84.67,scattered clouds,-6.8844,112.2051,Labuhan
522,Mersing,MY,75.11,light rain,2.4312,103.8405,Mersing
525,Lazaro Cardenas,MX,77.97,clear sky,17.9583,-102.2,Lazaro Cardenas
531,Gizo,SB,85.82,scattered clouds,-8.103,156.8419,Gizo
534,Iquitos,PE,80.64,clear sky,-3.7481,-73.2472,Iquitos
539,Kuala Terengganu,MY,78.75,scattered clouds,5.3302,103.1408,Kuala Terengganu
540,Resistencia,AR,80.58,light rain,-27.4606,-58.9839,Resistencia
543,Biloela,AU,87.64,clear sky,-24.4167,150.5,Biloela
544,Bandarbeyla,SO,75.79,clear sky,9.4942,50.8122,Bandarbeyla
548,Pasir Gudang,MY,80.8,broken clouds,1.4584,103.8805,Pasir Gudang
554,Piacabucu,BR,79.0,few clouds,-10.4056,-36.4344,Piacabucu
555,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Cabedelo
559,Uruguaiana,BR,79.27,overcast clouds,-29.7547,-57.0883,Uruguaiana
560,Miandrivazo,MG,78.89,broken clouds,-19.5167,45.4667,Miandrivazo
569,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,Touros
573,Matara,LK,78.01,overcast clouds,5.9485,80.5353,Matara
575,Sibolga,ID,79.56,overcast clouds,1.7427,98.7792,Sibolga
579,Keta,GH,82.62,broken clouds,5.9179,0.9879,Keta
593,Pringsewu,ID,83.95,scattered clouds,-5.3582,104.9744,Pringsewu
594,Senador Jose Porfirio,BR,76.66,overcast clouds,-2.5908,-51.9542,Senador Jose Porfirio
595,Kalawit,PH,83.89,overcast clouds,8.0667,122.5167,Kalawit
596,Balabac,PH,83.19,scattered clouds,7.9868,117.0645,Balabac
603,Kempsey,AU,77.95,clear sky,-31.0833,152.8333,Kempsey
605,Port-Gentil,GA,79.18,overcast clouds,-0.7193,8.7815,Port-Gentil
613,Lahaina,US,80.6,broken clouds,20.8783,-156.6825,Lahaina
621,Alice Springs,AU,89.15,clear sky,-23.7,133.8833,Alice Springs
623,Nisia Floresta,BR,82.78,broken clouds,-6.0911,-35.2086,Nisia Floresta
626,Itarema,BR,80.44,overcast clouds,-2.9248,-39.9167,Itarema
627,Hoi An,VN,75.16,broken clouds,15.8794,108.335,Hoi An
645,Macia,MZ,76.55,overcast clouds,-25.0269,33.0989,Macia
647,Natal,BR,82.62,scattered clouds,-5.795,-35.2094,Natal
650,Pemangkat,ID,80.85,overcast clouds,1.1667,108.9667,Pemangkat
655,Tiruchchendur,IN,80.89,overcast clouds,8.4833,78.1167,Tiruchchendur
656,Sydney,AU,78.62,clear sky,-33.8679,151.2073,Sydney
662,Sibu,MY,82.71,few clouds,2.3,111.8167,Sibu
663,Rantepao,ID,81.9,overcast clouds,-2.9701,119.8978,Rantepao
665,Camocim,BR,80.15,broken clouds,-2.9022,-40.8411,Camocim
672,Buchanan,LR,79.54,few clouds,5.8808,-10.0467,Buchanan
673,Tutoia,BR,84.18,broken clouds,-2.7619,-42.2744,Tutoia
674,Namatanai,PG,87.01,overcast clouds,-3.6667,152.4333,Namatanai
677,Mayor Pablo Lagerenza,PY,82.26,overcast clouds,-19.9309,-60.7718,Mayor Pablo Lagerenza
696,Katobu,ID,85.98,overcast clouds,-4.9408,122.5276,Katobu
698,Rabak,SD,75.33,few clouds,13.1809,32.74,Rabak
701,Tamandare,BR,78.44,few clouds,-8.7597,-35.1047,Tamandare
